"Não Declarado","43038936.00",NULL
"Região Norte",NULL,"5860084.00"
"Roraima",NULL,"5860084.00"
"Região Nordeste","2699969736.00",NULL
"Bahia","137808412.00",NULL
"Ceará","28378532.00",NULL
"Pernambuco","84987756.00",NULL
"Rio Grande do Norte","76997632.00",NULL
"Região Centro-Oeste",NULL,"1133187828.00"
"Distrito Federal",NULL,"1133187828.00"
"Goiás","679611988.00",NULL
"Mato Grosso do Sul","4217476.00",NULL
"Mato Grosso","7142948.00",NULL
"Região Sudeste","17810192.00",NULL
"Minas Gerais","163698348.00",NULL
"Rio de Janeiro","3033027800.00",NULL
"São Paulo","133394864.00",NULL
"Região Sul","7099939400.00","159416852.00"
"Paraná","99474528.00","16034016.00"
"Rio Grande do Sul","4833169992.00","143382836.00"
"Santa Catarina","492770116.00",NULL
